Customer ID,Job Classification
100000001,White Collar
400000002,Blue Collar
100000003,White Collar
300000004,White Collar
100000005,Blue Collar
300000006,Blue Collar
100000007,Blue Collar
200000008,Other
300000009,White Collar
100000010,White Collar
100000011,White Collar
100000012,White Collar
100000013,White Collar
200000014,Other
300000015,Other
100000016,White Collar
200000017,Other
200000018,Other
100000019,Blue Collar
100000020,Blue Collar
300000021,Other
200000022,Blue Collar
300000023,White Collar
200000024,Blue Collar
100000025,White Collar
200000026,Blue Collar
400000027,White Collar
100000028,White Collar
200000029,Blue Collar
100000030,White Collar
100000031,White Collar
300000032,White Collar
200000033,Other
100000034,Other
100000035,Blue Collar
100000036,White Collar
100000037,White Collar
100000038,Other
200000039,Blue Collar
200000040,Other
100000041,Blue Collar
100000042,White Collar
200000043,Blue Collar
400000044,Other
100000045,Other
200000046,Other
200000047,Other
400000048,Other
100000049,White Collar
100000050,White Collar
100000051,Blue Collar
100000052,Blue Collar
100000053,Other
100000054,White Collar
100000055,White Collar
100000056,White Collar
100000057,Blue Collar
100000058,White Collar
100000059,Other
100000060,White Collar
100000061,White Collar
100000062,Other
100000063,White Collar
100000064,White Collar
200000065,Other
200000066,Blue Collar
200000067,Blue Collar
200000068,Blue Collar
200000069,Blue Collar
200000070,Other
200000071,Blue Collar
200000072,Other
300000073,White Collar
300000074,Other
400000075,White Collar
200000076,Blue Collar
100000077,White Collar
100000078,Other
300000079,Blue Collar
100000080,White Collar
100000081,White Collar
100000082,White Collar
100000083,Blue Collar
100000084,White Collar
100000085,White Collar
100000086,White Collar
100000087,Other
100000088,White Collar
100000089,White Collar
100000090,White Collar
100000091,White Collar
100000092,White Collar
100000093,White Collar
100000094,Other
100000095,White Collar
100000096,White Collar
100000097,Blue Collar
100000098,White Collar
200000099,Blue Collar
200000100,Other
200000101,Blue Collar
200000102,White Collar
200000103,White Collar
200000104,Other
200000105,White Collar
200000106,Other
200000107,Blue Collar
200000108,Blue Collar
200000109,Other
200000110,Blue Collar
300000111,Other
300000112,White Collar
400000113,White Collar
400000114,Other
400000115,Blue Collar
100000116,Other
100000117,Other
200000118,Other
100000119,White Collar
100000120,White Collar
100000121,White Collar
100000122,Other
100000123,White Collar
100000124,Other
100000125,White Collar
100000126,White Collar
100000127,White Collar
100000128,White Collar
100000129,White Collar
100000130,White Collar
100000131,White Collar
100000132,Blue Collar
100000133,White Collar
100000134,Blue Collar
100000135,White Collar
100000136,White Collar
100000137,White Collar
100000138,White Collar
100000139,White Collar
200000140,Blue Collar
100000141,White Collar
100000142,White Collar
100000143,Other
100000144,White Collar
100000145,White Collar
100000146,White Collar
100000147,White Collar
100000148,White Collar
100000149,White Collar
100000150,White Collar
100000151,White Collar
100000152,White Collar
100000153,White Collar
100000154,White Collar
100000155,Blue Collar
100000156,Other
100000157,White Collar
100000158,White Collar
